name,bus,carrier,p_nom,FOR,MTTF_hours,MTTR_hours
FES_large_hydro_Chesterfield_2035,Z10,large_hydro,0.006,0.032,3025,100
FES_large_hydro_Stoke_Bardolph_2035,Z10,large_hydro,0.581,0.032,3025,100
FES_large_hydro_Berkswell_2035,Z11,large_hydro,0.017,0.032,3025,100
FES_large_hydro_Bishops_Wood_2035,Z11,large_hydro,0.315,0.032,3025,100
FES_large_hydro_Bushbury_2035,Z11,large_hydro,0.003,0.032,3025,100
FES_large_hydro_Cellarhead_2035,Z11,large_hydro,0.022,0.032,3025,100
FES_large_hydro_Drakelow_2035,Z11,large_hydro,0.08,0.032,3025,100
FES_large_hydro_Feckenham_2035,Z11,large_hydro,0.425,0.032,3025,100
FES_large_hydro_Grendon_2035,Z11,large_hydro,0.064,0.032,3025,100
FES_large_hydro_Rugeley_2035,Z11,large_hydro,0.003,0.032,3025,100
FES_large_hydro_Willington_2035,Z11,large_hydro,0.856,0.032,3025,100
FES_large_hydro_Eaton_Socon_2035,Z12,large_hydro,0.049,0.032,3025,100
FES_large_hydro_Norwich_Main_2035,Z12,large_hydro,0.024,0.032,3025,100
FES_large_hydro_Iron_Acton_2035,Z13,large_hydro,0.097,0.032,3025,100
FES_large_hydro_Margam_Grange_66kV_2035,Z13,large_hydro,0.015,0.032,3025,100
FES_large_hydro_Melksham_2035,Z13,large_hydro,0.499,0.032,3025,100
FES_large_hydro_Minety_2035,Z13,large_hydro,5.099,0.032,3025,100
FES_large_hydro_Pyle_2035,Z13,large_hydro,0.033,0.032,3025,100
FES_large_hydro_Rassau_2035,Z13,large_hydro,9.132,0.032,3025,100
FES_large_hydro_Seabank_2035,Z13,large_hydro,0.067,0.032,3025,100
FES_large_hydro_Swansea_North_2035,Z13,large_hydro,61.473,0.032,3025,100
FES_large_hydro_Upper_Boat_132kV_2035,Z13,large_hydro,0.776,0.032,3025,100
FES_large_hydro_Uskmouth_2035,Z13,large_hydro,0.045,0.032,3025,100
FES_large_hydro_Walham_2035,Z13,large_hydro,0.008,0.032,3025,100
FES_large_hydro_Acton_Lane_66kV_2035,Z14,large_hydro,0.279,0.032,3025,100
FES_large_hydro_Beddington_SPN_2035,Z14,large_hydro,0.837,0.032,3025,100
FES_large_hydro_Cowley_2035,Z14,large_hydro,1.123,0.032,3025,100
FES_large_hydro_Elstree_2035,Z14,large_hydro,0.279,0.032,3025,100
FES_large_hydro_Hurst_2035,Z14,large_hydro,0.105,0.032,3025,100
FES_large_hydro_Iver_132kV_2035,Z14,large_hydro,0.36,0.032,3025,100
FES_large_hydro_Mill_Hill_2035,Z14,large_hydro,0.523,0.032,3025,100
FES_large_hydro_New_Cross_66kV_2035,Z14,large_hydro,0.174,0.032,3025,100
FES_large_hydro_Rye_House_2035,Z14,large_hydro,0.017,0.032,3025,100
FES_large_hydro_Sundon_2035,Z14,large_hydro,0.046,0.032,3025,100
FES_large_hydro_Tottenham_2035,Z14,large_hydro,0.256,0.032,3025,100
FES_large_hydro_Warley_2035,Z14,large_hydro,0.424,0.032,3025,100
FES_large_hydro_West_Ham_2035,Z14,large_hydro,0.465,0.032,3025,100
FES_large_hydro_West_Weybridge_2035,Z14,large_hydro,0.041,0.032,3025,100
FES_large_hydro_Wimbledon_South_2035,Z14,large_hydro,0.116,0.032,3025,100
FES_large_hydro_Canterbury_2035,Z15,large_hydro,0.004,0.032,3025,100
FES_large_hydro_Rayleigh_2035,Z15,large_hydro,0.046,0.032,3025,100
FES_large_hydro_Bramley_2035,Z16,large_hydro,0.124,0.032,3025,100
FES_large_hydro_Fawley_2035,Z16,large_hydro,6.369,0.032,3025,100
FES_large_hydro_Fleet_2035,Z16,large_hydro,19.397,0.032,3025,100
FES_large_hydro_Lovedean_2035,Z16,large_hydro,0.017,0.032,3025,100
FES_large_hydro_Mannington_2035,Z16,large_hydro,0.127,0.032,3025,100
FES_large_hydro_Nursling_2035,Z16,large_hydro,8.057,0.032,3025,100
FES_large_hydro_Abham_2035,Z17,large_hydro,1.917,0.032,3025,100
FES_large_hydro_Alverdiscott_2035,Z17,large_hydro,2.486,0.032,3025,100
FES_large_hydro_Axminster_2035,Z17,large_hydro,0.048,0.032,3025,100
FES_large_hydro_Bridgewater_2035,Z17,large_hydro,0.099,0.032,3025,100
FES_large_hydro_Chickerell_2035,Z17,large_hydro,0.042,0.032,3025,100
FES_large_hydro_Exeter_2035,Z17,large_hydro,0.38,0.032,3025,100
FES_large_hydro_Indian_Queens_2035,Z17,large_hydro,0.708,0.032,3025,100
FES_large_hydro_Landulph_2035,Z17,large_hydro,5.163,0.032,3025,100
FES_large_hydro_Pembroke_2035,Z17,large_hydro,0.548,0.032,3025,100
FES_large_hydro_Taunton_2035,Z17,large_hydro,0.151,0.032,3025,100
FES_large_hydro_Ardmore_2035,Z1_2,large_hydro,0.139,0.032,3025,100
FES_large_hydro_Alness_2035,Z1_3,large_hydro,6.153,0.032,3025,100
FES_large_hydro_Brora_2035,Z1_3,large_hydro,0.342,0.032,3025,100
FES_large_hydro_Lairg_2035,Z1_3,large_hydro,5.554,0.032,3025,100
FES_large_hydro_Shin_2035,Z1_3,large_hydro,20.55,0.032,3025,100
FES_large_hydro_Thurso_2035,Z1_3,large_hydro,0.139,0.032,3025,100
FES_large_hydro_Beauly_2035,Z1_4,large_hydro,20.872,0.032,3025,100
FES_large_hydro_Broadford_2035,Z1_4,large_hydro,3.17,0.032,3025,100
FES_large_hydro_Ceannacroc_2035,Z1_4,large_hydro,21.792,0.032,3025,100
FES_large_hydro_DirectSHETL_Z1_4_2035,Z1_4,large_hydro,725.0619999999998,0.032,3025,100
FES_large_hydro_DirectSPTL_Z1_4_2035,Z1_4,large_hydro,13.090481727574751,0.032,3025,100
FES_large_hydro_Fasnakyle_2035,Z1_4,large_hydro,31.779,0.032,3025,100
FES_large_hydro_Fort_Augustus_2035,Z1_4,large_hydro,18.869,0.032,3025,100
FES_large_hydro_Fort_William_2035,Z1_4,large_hydro,110.02,0.032,3025,100
FES_large_hydro_Grudie_Bridge_2035,Z1_4,large_hydro,49.696,0.032,3025,100
FES_large_hydro_Inverness_2035,Z1_4,large_hydro,9.294,0.032,3025,100
FES_large_hydro_Kinlochleven_2035,Z1_4,large_hydro,27.792,0.032,3025,100
FES_large_hydro_Quoich_2035,Z1_4,large_hydro,18.0,0.032,3025,100
FES_large_hydro_Boat_of_Garten_2035,Z2,large_hydro,9.492,0.032,3025,100
FES_large_hydro_Bridge_of_Dun_2035,Z2,large_hydro,0.17,0.032,3025,100
FES_large_hydro_Dyce_2035,Z2,large_hydro,0.041,0.032,3025,100
FES_large_hydro_Elgin_2035,Z2,large_hydro,0.056,0.032,3025,100
FES_large_hydro_Fiddes_2035,Z2,large_hydro,0.013,0.032,3025,100
FES_large_hydro_Keith_2035,Z2,large_hydro,2.721,0.032,3025,100
FES_large_hydro_Lunanhead_2035,Z2,large_hydro,1.608,0.032,3025,100
FES_large_hydro_Nairn_2035,Z2,large_hydro,40.567,0.032,3025,100
FES_large_hydro_Tarland_2035,Z2,large_hydro,2.404,0.032,3025,100
FES_large_hydro_Willowdale_2035,Z2,large_hydro,2.507,0.032,3025,100
FES_large_hydro_Abernethy_2035,Z3,large_hydro,1.475,0.032,3025,100
FES_large_hydro_Ardkinglas_2035,Z3,large_hydro,4.661,0.032,3025,100
FES_large_hydro_Braco_West_2035,Z3,large_hydro,5.251,0.032,3025,100
FES_large_hydro_Burghmuir_2035,Z3,large_hydro,0.959,0.032,3025,100
FES_large_hydro_Cassley_2035,Z3,large_hydro,14.107,0.032,3025,100
FES_large_hydro_Charleston_2035,Z3,large_hydro,1.346,0.032,3025,100
FES_large_hydro_Clachan_2035,Z3,large_hydro,53.49,0.032,3025,100
FES_large_hydro_Coupar_Angus_2035,Z3,large_hydro,2.214,0.032,3025,100
FES_large_hydro_Devonside_2035,Z3,large_hydro,1.094,0.032,3025,100
FES_large_hydro_DirectSPTL_Z3_2035,Z3,large_hydro,10.22451827242525,0.032,3025,100
FES_large_hydro_Glenrothes_2035,Z3,large_hydro,0.943,0.032,3025,100
FES_large_hydro_Killin_2035,Z3,large_hydro,24.519,0.032,3025,100
FES_large_hydro_Lyndhurst_2035,Z3,large_hydro,0.196,0.032,3025,100
FES_large_hydro_Milton_of_Craigie_2035,Z3,large_hydro,1.133,0.032,3025,100
FES_large_hydro_Rannoch_2035,Z3,large_hydro,62.554,0.032,3025,100
FES_large_hydro_Sloy_2035,Z3,large_hydro,72.5,0.032,3025,100
FES_large_hydro_Stirling_2035,Z3,large_hydro,0.433,0.032,3025,100
FES_large_hydro_Taynuilt_2035,Z3,large_hydro,52.512,0.032,3025,100
FES_large_hydro_Tummel_Bridge_2035,Z3,large_hydro,18.3,0.032,3025,100
FES_large_hydro_Carradale_2035,Z4,large_hydro,1.47,0.032,3025,100
FES_large_hydro_Dunoon_2035,Z4,large_hydro,11.13,0.032,3025,100
FES_large_hydro_Port_Ann_2035,Z4,large_hydro,14.12,0.032,3025,100
FES_large_hydro_Saltcoats_A_2035,Z4,large_hydro,1.181,0.032,3025,100
FES_large_hydro_Saltcoats_B_2035,Z4,large_hydro,1.181,0.032,3025,100
FES_large_hydro_Spango_Valley_2035,Z4,large_hydro,0.064,0.032,3025,100
FES_large_hydro_Bonnybridge_2035,Z5,large_hydro,0.87,0.032,3025,100
FES_large_hydro_Cockenzie_2035,Z5,large_hydro,0.038,0.032,3025,100
FES_large_hydro_Coylton_2035,Z5,large_hydro,2.218,0.032,3025,100
FES_large_hydro_Devol_Moor_2035,Z5,large_hydro,0.026,0.032,3025,100
FES_large_hydro_East_Kilbride_2035,Z5,large_hydro,0.662,0.032,3025,100
